round,cells,depth,reward,seconds,arms
1,198,19,0.0,0.42,opt -fast | opt -full | opt_clean
2,113,16,0.4293,0.43,opt -full | opt -full; opt_merge | opt -full; opt_merge; opt_clean
3,113,16,0.4293,0.49,opt -full; wreduce | opt -full; share | opt -full; opt_clean
4,198,19,0.0,0.44,opt -full; wreduce | opt -full; opt_merge | opt_merge; opt_clean
5,113,16,0.4293,0.43,opt -full | opt -full; share | opt -fast; opt_clean
6,198,19,0.0,0.43,opt -fast | opt -full | peepopt; opt_clean
7,113,16,0.4293,0.46,opt -full | opt -full; share | opt -full; opt_clean
8,113,16,0.4293,0.47,opt -full; wreduce | opt -full; opt_merge | opt -fast; opt_clean
9,113,16,0.4293,0.47,opt -full | opt -full; share | opt -full; opt_merge; opt_clean
10,198,19,0.0,0.51,opt -full | opt -full; share | opt_clean
11,198,19,0.0,0.43,opt -full; wreduce | opt -full; opt_merge | peepopt; opt_clean
12,198,19,0.0,0.43,opt -fast | opt -full | opt_merge; opt_clean
13,113,16,0.4293,0.46,opt -full | opt -full; share | opt -full; opt_clean
14,113,16,0.4293,0.45,opt -full; wreduce | opt -full; opt_merge | opt -full; opt_merge; opt_clean
15,113,16,0.4293,0.43,opt -full | opt -full; share | opt -fast; opt_clean
16,113,16,0.4293,0.46,opt -fast | opt -full | opt -fast; opt_clean
17,113,16,0.4293,0.45,opt -full; wreduce | opt -full; opt_merge | opt -full; opt_merge; opt_clean
18,113,16,0.4293,0.46,opt -full | opt -full; share | opt -full; opt_clean
19,113,16,0.4293,0.46,opt -fast | opt -full | opt -fast; opt_clean
20,198,19,0.0,0.44,opt -full; wreduce | opt -full; opt_merge | opt_merge; opt_clean
21,198,19,0.0,0.44,opt -full | opt -full; share | peepopt; opt_clean
22,198,19,0.0,0.42,opt -fast | opt -full | opt_clean
23,113,16,0.4293,0.49,opt -full; wreduce | opt -full; opt_merge | opt -full; opt_clean
24,113,16,0.4293,0.47,opt -full | opt -full; share | opt -full; opt_merge; opt_clean
25,113,16,0.4293,0.45,opt -full; wreduce | opt -full; opt_merge | opt -full; opt_merge; opt_clean
26,113,16,0.4293,0.46,opt -full | opt -full; share | opt -full; opt_clean
27,113,16,0.4293,0.46,opt -fast | opt -full | opt -fast; opt_clean
28,113,16,0.4293,0.49,opt -full; wreduce | opt -full; opt_merge | opt -full; opt_clean
29,113,16,0.4293,0.47,opt -fast | opt -full | opt -full; opt_merge; opt_clean
30,113,16,0.4293,0.43,opt -full | opt -full; share | opt -fast; opt_clean
