round,cells,depth,reward,seconds,arms
1,120,16,0.3443,0.47,opt -fast | opt -full; opt_merge | opt -fast; opt_clean
2,120,16,0.3443,0.43,opt -full; wreduce | opt -full | opt -full; opt_merge; opt_clean
3,120,16,0.3443,0.46,opt -full | opt -full; share | opt -full; opt_clean
4,169,22,0.0765,0.43,opt -fast | opt -full; opt_merge | opt_merge; opt_clean
5,183,22,0.0,0.44,opt -full; wreduce | opt -full | peepopt; opt_clean
6,183,22,0.0,0.46,opt -full | opt -full; share | opt_clean
7,120,16,0.3443,0.47,opt -fast | opt -full; opt_merge | opt -fast; opt_clean
8,120,16,0.3443,0.43,opt -full; wreduce | opt -full | opt -full; opt_merge; opt_clean
9,120,16,0.3443,0.46,opt -full | opt -full; share | opt -full; opt_clean
10,120,16,0.3443,0.47,opt -fast | opt -full; opt_merge | opt -fast; opt_clean
11,120,16,0.3443,0.45,opt -full; wreduce | opt -full | opt -full; opt_clean
12,120,16,0.3443,0.48,opt -full | opt -full; share | opt -full; opt_merge; opt_clean
13,169,22,0.0765,0.43,opt -fast | opt -full; opt_merge | opt_merge; opt_clean
14,183,22,0.0,0.47,opt -full; wreduce | opt -full | opt_clean
15,183,22,0.0,0.47,opt -full | opt -full; share | peepopt; opt_clean
16,120,16,0.3443,0.47,opt -fast | opt -full; opt_merge | opt -fast; opt_clean
17,120,16,0.3443,0.45,opt -full; wreduce | opt -full | opt -full; opt_clean
18,120,16,0.3443,0.48,opt -full | opt -full; share | opt -full; opt_merge; opt_clean
19,120,16,0.3443,0.47,opt -fast | opt -full; opt_merge | opt -fast; opt_clean
20,120,16,0.3443,0.43,opt -full; wreduce | opt -full | opt -full; opt_merge; opt_clean
21,120,16,0.3443,0.46,opt -full | opt -full; share | opt -full; opt_clean
22,169,22,0.0765,0.43,opt -fast | opt -full; opt_merge | opt_merge; opt_clean
23,120,16,0.3443,0.45,opt -full; wreduce | opt -full | opt -fast; opt_clean
24,120,16,0.3443,0.46,opt -full | opt -full; share | opt -full; opt_clean
25,183,22,0.0,0.47,opt -full; wreduce | opt -full | opt_clean
26,183,22,0.0,0.47,opt -full | opt -full; share | peepopt; opt_clean
27,120,16,0.3443,0.47,opt -fast | opt -full; opt_merge | opt -full; opt_merge; opt_clean
28,120,16,0.3443,0.47,opt -fast | opt -full; opt_merge | opt -fast; opt_clean
29,120,16,0.3443,0.43,opt -full; wreduce | opt -full | opt -full; opt_merge; opt_clean
30,120,16,0.3443,0.46,opt -full | opt -full; share | opt -full; opt_clean
