round,cells,depth,reward,seconds,arms
1,11,11,0.0,0.41,opt -full; wreduce | opt -full; share | opt -fast; opt_clean
2,11,11,0.0,0.42,opt -fast | opt -full | opt -full; opt_merge; opt_clean
3,11,11,0.0,0.41,opt -full | opt -full; opt_merge | opt -full; opt_clean
4,11,11,0.0,0.41,opt -full; wreduce | opt -full; share | opt -fast; opt_clean
5,11,11,0.0,0.42,opt -fast | opt -full | opt -full; opt_merge; opt_clean
6,11,11,0.0,0.41,opt -full | opt -full; opt_merge | opt -full; opt_clean
7,11,11,0.0,0.41,opt -full; wreduce | opt -full; share | opt -fast; opt_clean
8,11,11,0.0,0.42,opt -fast | opt -full | opt -full; opt_merge; opt_clean
9,11,11,0.0,0.41,opt -full | opt -full; opt_merge | opt -full; opt_clean
10,11,11,0.0,0.41,opt -full; wreduce | opt -full; share | opt -fast; opt_clean
11,11,11,0.0,0.42,opt -fast | opt -full | opt -full; opt_merge; opt_clean
12,11,11,0.0,0.41,opt -full | opt -full; opt_merge | opt -full; opt_clean
13,11,11,0.0,0.41,opt -full; wreduce | opt -full; share | opt -fast; opt_clean
14,11,11,0.0,0.42,opt -fast | opt -full | opt -full; opt_merge; opt_clean
15,11,11,0.0,0.41,opt -full | opt -full; opt_merge | opt -full; opt_clean
16,11,11,0.0,0.41,opt -full; wreduce | opt -full; share | opt -fast; opt_clean
17,11,11,0.0,0.42,opt -fast | opt -full | opt -full; opt_merge; opt_clean
18,11,11,0.0,0.41,opt -full | opt -full; opt_merge | opt -full; opt_clean
19,11,11,0.0,0.41,opt -full; wreduce | opt -full; share | opt -fast; opt_clean
20,11,11,0.0,0.42,opt -fast | opt -full | opt -full; opt_merge; opt_clean
21,11,11,0.0,0.41,opt -full | opt -full; opt_merge | opt -full; opt_clean
22,11,11,0.0,0.41,opt -full; wreduce | opt -full; share | opt -fast; opt_clean
23,11,11,0.0,0.42,opt -fast | opt -full | opt -full; opt_merge; opt_clean
24,11,11,0.0,0.41,opt -full | opt -full; opt_merge | opt -full; opt_clean
25,11,11,0.0,0.41,opt -full; wreduce | opt -full; share | opt -fast; opt_clean
26,11,11,0.0,0.42,opt -fast | opt -full | opt -full; opt_merge; opt_clean
27,11,11,0.0,0.41,opt -full | opt -full; opt_merge | opt -full; opt_clean
28,11,11,0.0,0.41,opt -full; wreduce | opt -full; share | opt -fast; opt_clean
29,11,11,0.0,0.42,opt -fast | opt -full | opt -full; opt_merge; opt_clean
30,11,11,0.0,0.41,opt -full | opt -full; opt_merge | opt -full; opt_clean
